name,group,usage
مولتی ویتامین,ویتامین و مواد معدنی,مولتی ویتامین ترکیبی از ویتامینی مختلف است که به طور معمول در غذاها و منابع طبیعی دیگر یافت می شوند . از مولتی ویتامین برای تهیه ویتامینیی استفاده می شود که از طریق رژیم غذایی مصرف نمی شوند . از مولتی ویتامین نیز برای درمان کمبود ویتامین کمبود ویتامین ناشی از بیماری ، بارداری ، تغذیه نامناسب ، اختلالات گوارشی و بسیاری شرایط دیگر استفاده می شود .
ویتامین 12,ویتامین,ویتامین 12 برای رشد ، تولید مثل سلول ، تشکیل خون و سنتز پروتئین و بافت از اهمیت بسیاری برخوردار است . ویتامین 12 برای درمان کمبود ویتامین 12 در مبتلایان به کم خونی خطرناک و سایر شرایط استفاده می شود .
کتوتیفن,آنتی هیستامین,کتوتیفن نوعی از داروهای آسم است که هر روز در صورت مصرف آن و همراه با سایر داروهای ضد آسم ، ممکن است باعث کاهش دفعات ، شدت و مدت علائم آسم یا حملات در کودکان شود . همچنین ممکن است منجر به کاهش نیاز روزانه سایر داروهای ضد آسم شود . کوتوتیفن برای پیشگیری یا درمان حملات حاد آسم مؤثر نیست . کتوتیفن با مهار برخی از مواد در بدن که به عنوان التهاب و علائم آسم شناخته می شود ، کار می کند .
دیفن هیدرامین کامپاند,آنتی هیستامین,دیفن هیدرامین یک آنتی هیستامین گیرنده 1 نسل اول است که به طور گسترده برای درمان آلرژیی فصلی ، نیش حشرات و نیش و بثورات مورد استفاده قرار می گیرد . با این حال ، همچنین دارای خاصیت ضد میکروبی ، ضد درد ، هیپنوتیزم و ضدپارکینسون است . همانطور که گیرندهی هیستامین هم در محیط و هم در سیستم عصبی مرکزی وجود دارد ، نشان داده می شود که دیفن هیدرامین به دلیل آنتاگونیسم رقابتی گیرندهی هیستامین 1 در سیستم عصبی مرکزی باعث آرام بخشی می شود . در حالی که استفاده از آن در آلرژی درمانی ممکن است بعلت تأثیر آرام بخش کننده ، بعضاً مطلوب نباشد ، دیفن هیدرامین برای استفاده در بسیاری از داروهای خواب آور بدون نسخه و سرفه و سرماخوردگی که برای شب به بازار عرضه شده است ، مجدداً مورد استفاده قرار گرفته است .
دیفن هیدرامین کامپاند,آنتی هیستامین,این دارو برای سهولت در علائم آلرژی استفاده می شود . برای تسکین سرفه استفاده می شود . از آن برای رقیق شدن خلط استفاده می شود بنابراین با سرفه می توان از بدن خارج شد . برای کمک به بیماری حرکتی استفاده می شود .
هیدروکسی زین,آنتی هیستامین,هیدروکسی زین یک آنتی هیستامین است که اثرات هیستامین شیمیایی طبیعی در بدن را کاهش می دهد . هیستامین می تواند علائم خارش یا کهیر روی پوست ایجاد کند . از هیدروکسیزین ممکن است برای درمان واکنشهای آلرژیک پوستی مانند کهیر یا درماتیت تماسی استفاده شود . از آنجا که هیدروکسیزین باعث کاهش فعالیت در سیستم عصبی مرکزی نیز می شود ، می تواند به عنوان یک آرام بخش در درمان اضطراب و تنش استفاده شود . همچنین به همراه داروهای دیگری که در حین و بعد از بی حسی عمومی داده می شود ، استفاده می شود . از هیدروکسیزین نیز برای درمان واکنشی آلرژیک پوستی مانند کهیر یا درماتیت تماسی استفاده می شود .
فکسوفنادین,آنتی هیستامین,این دارو برای کاهش علائم آلرژی استفاده می شود . برای درمان کهیر استفاده می شود .
کتوتیفن,آنتی هیستامین,کتوتیفن نوعی از داروهای آسم است که هر روز در صورت مصرف آن و همراه با سایر داروهای ضد آسم ، ممکن است باعث کاهش دفعات ، شدت و مدت علائم آسم یا حملات در کودکان شود . همچنین ممکن است منجر به کاهش نیاز روزانه سایر داروهای ضد آسم شود . کوتوتیفن برای پیشگیری یا درمان حملات حاد آسم مؤثر نیست . کتوتیفن با مهار برخی از مواد در بدن که به عنوان التهاب و علائم آسم شناخته می شود ، کار می کند .
دیفن هیدرامین کامپاند,آنتی هیستامین,دیفن هیدرامین یک آنتی هیستامین گیرنده 1 نسل اول است که به طور گسترده برای درمان آلرژیی فصلی ، نیش حشرات و نیش و بثورات مورد استفاده قرار می گیرد . با این حال ، همچنین دارای خاصیت ضد میکروبی ، ضد درد ، هیپنوتیزم و ضدپارکینسون است . همانطور که گیرندهی هیستامین هم در محیط و هم در سیستم عصبی مرکزی وجود دارد ، نشان داده می شود که دیفن هیدرامین به دلیل آنتاگونیسم رقابتی گیرندهی هیستامین 1 در سیستم عصبی مرکزی باعث آرام بخشی می شود . در حالی که استفاده از آن در آلرژی درمانی ممکن است بعلت تأثیر آرام بخش کننده ، بعضاً مطلوب نباشد ، دیفن هیدرامین برای استفاده در بسیاری از داروهای خواب آور بدون نسخه و سرفه و سرماخوردگی که برای شب به بازار عرضه شده است ، مجدداً مورد استفاده قرار گرفته است .
دیفن هیدرامین کامپاند,آنتی هیستامین,این دارو برای سهولت در علائم آلرژی استفاده می شود . برای تسکین سرفه استفاده می شود . از آن برای رقیق شدن خلط استفاده می شود بنابراین با سرفه می توان از بدن خارج شد . برای کمک به بیماری حرکتی استفاده می شود .
هیدروکسی زین,آنتی هیستامین,هیدروکسی زین یک آنتی هیستامین است که اثرات هیستامین شیمیایی طبیعی در بدن را کاهش می دهد . هیستامین می تواند علائم خارش یا کهیر روی پوست ایجاد کند . از هیدروکسیزین ممکن است برای درمان واکنشهای آلرژیک پوستی مانند کهیر یا درماتیت تماسی استفاده شود . از آنجا که هیدروکسیزین باعث کاهش فعالیت در سیستم عصبی مرکزی نیز می شود ، می تواند به عنوان یک آرام بخش در درمان اضطراب و تنش استفاده شود . همچنین به همراه داروهای دیگری که در حین و بعد از بی حسی عمومی داده می شود ، استفاده می شود . از هیدروکسیزین نیز برای درمان واکنشی آلرژیک پوستی مانند کهیر یا درماتیت تماسی استفاده می شود .
فکسوفنادین,آنتی هیستامین,این دارو برای کاهش علائم آلرژی استفاده می شود . برای درمان کهیر استفاده می شود .
مپیواکایین,بی حسی موضعی,استفاده می شود برای عمل بی حسی موضعی برای کارهای دندان پزشکی با روش نفوذ یا بلاک کردن رشتهی عصبی در بزرگسالان و کودکان
مپیواکایین,بی حسی موضعی,استفاده می شود برای عمل بی حسی موضعی برای کارهای دندان پزشکی با روش نفوذ یا بلاک کردن رشتهی عصبی در بزرگسالان و کودکان
مپیواکایین,بی حسی موضعی,استفاده می شود برای عمل بی حسی موضعی برای کارهای دندان پزشکی با روش نفوذ یا بلاک کردن رشتهی عصبی در بزرگسالان و کودکان
متفورمین,ضد دیابتی,به عنوان مکمل رژیم و ورزش برای بهبود کنترل قند خون در بزرگسالان مبتلا به دیابت نوع 2 معرفی شده است .
سیتاگیلیپتین,کاهنده قند خون,به عنوان مکمل رژیم و ورزش برای بهبود کنترل قند خون در بزرگسالان مبتلا به دیابت نوع 2 نشان داده شده است . محدودیتی استفاده : نباید در بیماران مبتلا به دیابت نوع 1 یا برای درمان کتواسیدوز دیابتی استفاده شود ، زیرا در این تنظیمات مؤثر نخواهد بود . در بیماران با سابقه پانکراس دیابتیوز بررسی نشده است . مشخص نیست که آیا بیمارانی که سابقه پانکراتیت دارند در هنگام استفاده از در معرض خطر ابتلا به پانکراس هستند . گزارشاتی در مورد پیامدهای پانکراتیت حاد ، از جمله پانکراسیت خونریزی کشنده و غیر کشنده یا نکروز کننده گزارش شده است . پس از شروع ، علائم و نشانهی پانکراس باید با دقت مشاهده شود . اگر مشکوک به پانکراتیت باشد ، سریعاً باید دیابت قطع شود و مدیریت مناسب آغاز شود . مشخص نیست که آیا بیمارانی که سابقه پانکراتیت دارند در هنگام استفاده از در معرض خطر ابتلا به پانکراس هستند .
انسولین انسانی 7030,انسولین ترکیبی,7030 یک فرمول انسولین با نسبت ثابت است که برای بهبود کنترل قند خون در بیماران بزرگسال مبتلا به دیابت قندی نشان داده شده است .
اورسودیوکسی کولیک اسید,دستگاه گوارش,اورسودکس در درمان اولیه سیروز صفراوی و در حل کردن سنگ کیسه صفرا به درمان کمک میکند
زولپیدم تارترات,سیستم عصبی,دریمکس برای درمان کوتاه مدت بی خوابی که با مشکل در شروع خواب همراه است ، مورد استفاده قرار می گیرد .
فکسوفنادین,آنتی هیستامین,این دارو برای کاهش علائم آلرژی استفاده می شود . برای درمان کهیر استفاده می شود .
بوپروپیون,سیستم عصبی,اختلال افسردگی اساسی اختلال عاطفی فصلی
بوپروپیون,سیستم عصبی,اختلال افسردگی اساسی اختلال عاطفی فصلی
پروتامین سولفات,ضد انعقاد,تزریق پروتامین سولفات ، در درمان مصرف بیش از حد هپارین استفاده می شود .
