name,preprocessed_ALL
Platinum,Platinum Platinum investigation treatment Metastatic Breast Cancer Non-small Cell Lung Cancer Gastric Large Cell Neuroendocrine Carcinoma Colorectal Large Cell Neuroendocrine Carcinoma Pancreatic Large Cell Neuroendocrine Carcinoma among others Platinum investigated treatment supportive care Ovarian Cancer Fallopian Tube Cancer Peritoneal Primary Cancer Non Small Cell Lung Cancer Primary Peritoneal Carcinoma among others compound belongs class inorganic compound known homogeneous transition metal compound inorganic compound containing metal atom largest atom transition metal atom
CRS-3123,CRS- CRS3123 used trial studying treatment Clostridial Infection Clostridium Difficile Colitis compound belongs class organic compound known -benzopyrans organic aromatic compound -benzopyran bicyclic compound made benzene ring fused pyran oxygen atom -position
Atevirdine,Atevirdine Atevirdine used trial studying treatment HIV Infections compound belongs class organic compound known pyridinylpiperazines compound containing pyridinylpiperazine skeleton consists pyridine linked fused piperazine bond single bond part ring
Fexinidazole,Fexinidazole Human African trypanosomiasis HAT also colloquially referred sleeping sickness caused brucei gambiense brucei rhodesiense remains moderate risk inhabitant per year endemic area despite focussed control effort Transmitted bite infected tsetse fly HAT biphasic first hemolymphatic stage progress second meningoencephalitic stage patient experience progressively worsening neurological symptom eventually die left untreated A237550 Historical treatment option meningoencephalitic HAT include melarsoprol eflornithine nifurtimoxeflornithine combination therapy NECT though melarsoprol highly toxic treatment requires lengthy infusion difficult administer resource-limited setting A237550 A237560 Fexinidazole originally developed 1970s80s Hoechst AG subsequently rediscovered Drugs Neglected Diseases Initiative DNDi first all-oral treatment first second stage HAT caused brucei gambiense A237555 A237560 Fexinidazole received positive opinion European Medicines Agency EMA November approved FDA July A237555 L35940 currently marketed Sanofi-Aventis L35940 compound belongs class organic compound known nitroimidazoles compound containing imidazole ring bear nitro group Fexinidazole nitroimidazole indicated treatment first-stage hemolymphatic second-stage meningoencephalitic Trypanosoma brucei gambiense human African trypanosomiasis HAT patient year age older weighing least kg L35940 Due decreased efficacy observed patient severe second stage HAT cerebrospinal fluid white blood cell count CSF-WBC cellsμL fexinidazole used patient available treatment option L35940
Epofolate,Epofolate Epofolate used trial studying treatment Advanced Solid Tumors Epofolate BMS- folate conjugate epothilone analog BMS- designed selectively target folate receptor expressing cancer cell Phase IIIa pharmacokinetic safety study epofolate generally tolerable toxicity known associated epothilone class anticancer agent common although peripheral neuropathy neutropenia appear le frequent le severe compared epothilones Antitumor activity demonstrated development BMS- discontinued
Brigatinib,Brigatinib Brigatinib originally named AP26113 reversible dual inhibitor anaplastic lymphoma kinase ALK epidermal growth factor receptor EGFR present selectivity mutant form EGFR compared wild-type A31311 also exhibit selectivity different Crizotinib-resistant mutant EML4-ALK fusion gene pivotal player transformation susceptible lung parenchyma A31313 Brigatinib developed Ariad Pharmaceuticals subsidiary Takeda Pharmaceutical Company Limited FDA-approved April L1026 compound belongs class organic compound known phenylpiperidines compound containing phenylpiperidine skeleton consists piperidine bound phenyl group anaplastic lymphoma kinase positive metastatic non-small cell lung cancer ALK NSCLC represents-- NSCLC cancer case ALK mutation overexpression presence several oncogenic fusion protein solid hematologic tumor pointed importance well potential cancer therapy target A31311 ALK-related case NSCLC associated presence fusion gene EML4-ALK fused ALK protein echinoderm microtubule-associated protein like- whose original function correct formation microtubule A31313 presence aberrant fusion protein result abnormal signaling provokes increased cell growth proliferation survival A31316 Crizotinib indicated treatment case presence ALK kinase domain mutation confer resistance treatment Thus brigatinib indicated treatment patient ALK NSCLC intolerance Crizotinib A31314
PF-06273340,PF- Pf investigation clinical trial NCT01934738 Study Evaluate Safety Toleration Time Course Plasma Concentration Multiple Oral Doses PF- Healthy Subjects Two AgeGroups Aged-- Years Group Aged-- Years Group compound belongs class organic compound known pyridinecarboxylic acid derivative compound containing pyridine ring bearing carboxylic acid group derivative thereof
ORE-1001,ORE- ORE1001 used trial studying treatment Mild Moderate Ulcerative Colitis ACE2 inhibitor compound belongs class organic compound known histidine derivative compound containing cysteine derivative thereof resulting reaction cysteine amino group carboxy group replacement hydrogen glycine heteroatom
Ecopipam,Ecopipam Ecopipam used trial studying treatment Tourettes Syndrome Lesch-Nyhan Disease Pathological Gambling Self-injurious Behavior compound belongs class organic compound known benzazepines organic compound containing benzene ring fused azepine ring unsaturated seven-membered heterocycle one nitrogen atom replacing carbon atom
Aducanumab,Aducanumab Aducanumab BIIB037 monoclonal IgG1 antibody target extracellular amyloid-β plaque brain similar gantenerumab bapineuzumab solanezumab A235668 A235730 Aducanumab recombinant antibody derived patient slow absent cognitive decline phase 1b clinical trial data shown patient treated aducanumab show reduction amyloid-β plaque A235668 Based Mini-Mental State Examination Clinical Dementia Rating CDR patient taking aducanumab showed sign slowing progression however data controversial A235668 A235720 Clinical trial showed relative difference experimental placebo group determined CDR however equivalent absolute difference A235720 Although aducanumabs approval represents first drug treatment Alzheimers disease approval conditional result L34420 Biogen enrolled patient phase clinical trial increased size trial patient patient maintain statistical power face high standard deviation A235720 Development aducanumab discontinued March two phase clinical trial pas futility analysis however Biogen sought FDA approval October reanalysis data A235720 Aducanumab granted accelerated FDA approval June L34393 Continued approval based trial confirming clinical benefit currently available therapy L34420 Aducanumab indicated treatment Alzheimers disease L34393
Propiverine,Propiverine Propiverine widely used antimuscarinic drug mixed mode action treatment symptom associated overactive bladder OAB A32576 Overactive bladder OAB chronic condition lower urinary tract characterized urinary urgency increased frequency urination nocturia frequent waking night urinate OAB negative impact quality life may lead leakage inconvenient urinary accident L2327 L2328 Overactive bladder syndrome affect million elderly individual United States show equal prevalence men woman impact OAB quality life sometimes devastating especially elderly patient medical condition L2328 Propiverine hydrochloride bladder detrusor muscle relaxant drug dual antimuscarinic calcium-modulating property treatment OAB L2317 compound belongs class organic compound known diphenylmethanes compound containing diphenylmethane moiety consists methane wherein two hydrogen atom replaced two phenyl group Indicated symptomatic treatment urinary incontinence andor increased urinary frequency urgency patient overactive bladder OAB L2315 Propiverine may also used patient neurogenic bladder result spinal cord injury A32581
OBP-801,OBP- OBP- used trial studying treatment Solid Tumor compound belongs class organic compound known cyclic depsipeptides natural synthetic compound sequence amino hydroxy carboxylic acid residue usually α-amino α-hydroxy acid connected ring residue commonly necessarily regularly alternating
AZD-5423,AZD- AZD5423 used trial studying basic science treatment Asthma Bioavailability AUC Chronic Obstructive Pulmonary Disease COPD compound belongs class organic compound known phenylpyrazoles compound containing phenylpyrazole skeleton consists pyrazole bound phenyl group
Luspatercept,Luspatercept Luspatercept recombinant fusion protein comprised modified extracellular domain activin receptor type IIB fused FC domain human IgG1 A187829 L42455 first approved use United States November brand name Reblozyl® treatment anemia patient beta thalassemia require regular blood transfusion L42455 Luspatercept novel ameliorates anemia via action late-stage erythropoiesis contrast typical erythropoiesis-stimulating agent ESAs darbepoetin alfa epoetin alfa act early-stage erythropoiesis A187835 Luspatercepts novel mechanism action uniquely suited treatment condition late-stage erythropoiesis defective beta thalassemia myelodysplastic disease A187835 A187838 Luspatercept indicated treatment anemia adult beta thalassemia require regular red blood cell transfusion L42455
Balapiravir,Balapiravir Balapiravir used trial studying treatment Dengue Hepatitis-C Chronic compound belongs class organic compound known glycosylamines compound consisting amine beta-N-glycosidic bond carbohydrate thus forming cyclic hemiaminal ether bond alpha-amino ether
Verubecestat,Verubecestat Verubecestat investigation treatment Alzheimers Disease Prodromal Alzheimers disease Amnestic Mild Cognitive Impairment Verubecestat Merck-’ investigational oral β-site amyloid precursor protein cleaving enzyme BACE1-β secretase inhibitor July Merck announced positive result Phase Ib trial Verubecestat study administration Verubecestat dos mg resulted dose-dependent sustained reduction level Ab40 measure BACE1 activity CSF baseline percent respectively compound belongs class organic compound known aromatic anilides aromatic compound containing anilide group carboxamide group substituted aromatic group general structure RNCOR-R benzene-R aryl group
Simendan,Simendan Simendan investigation clinical trial NCT00527059 Renal Effects Levosimendan Patients Admitted Acute Decompensated Heart Failure compound belongs class organic compound known phenylhydrazines compound containing phenylhydrazide moiety consists hydrazide substituent attached phenyl group
Darexaban,Darexaban Darexaban used trial studying prevention basic science Japanese Caucasian Thromboembolism Pharmacodynamics Pharmacokinetics among others compound belongs class organic compound known benzanilides aromatic compound containing anilide group carboxamide group substituted benzene ring general structure RNCOR-R R benzene
Tacedinaline,Tacedinaline Tacedinaline used trial studying treatment Lung Cancer Multiple Myeloma Pancreatic Cancer compound belongs class organic compound known benzanilides aromatic compound containing anilide group carboxamide group substituted benzene ring general structure RNCOR-R R benzene
Nefopam,Nefopam Nefopam investigation prevention Cholecystitis Post Anaesthetic Shivering Nefopam investigated prevention Kidney Transplantation compound belongs class organic compound known aralkylamines alkylamines alkyl group substituted one carbon atom aromatic hydrocarbyl group
GLPG-0187,GLPG- GLPG0187 used trial studying treatment Solid Tumors compound belongs class organic compound known naphthyridines compound containing naphthyridine moiety naphthalene carbon atom replaced nitrogen two ring naphthyridine skeleton also described assembly two fused pyridine ring share nitrogen atom
5-(hydroxymethyl)-2-furaldehyde,-hydroxymethyl -- furaldehyde Aes- used trial studying treatment prevention Hypoxia Anemia Sickle Cell Sickle Cell Disease compound belongs class organic compound known aryl-aldehydes compound containing aldehyde group directly attached aromatic ring
Bavisant,Bavisant Bavisant used trial studying basic science treatment Alcoholism Pharmacokinetics Drug Interactions Attention Deficit Hyperactivity Disorder Attention Deficit Disorders Hyperactivity compound belongs class organic compound known benzamides organic compound containing carboxamido substituent attached benzene ring
Doravirine,Doravirine Doravirine HIV- non-nucleoside reverse transcriptase inhibitor NNRTI intended administered combination antiretroviral medicine L12729 L4562 Doravirine available combination product doravirine mg lamivudine mg tenofovir disoproxil fumarate mg L4562 Doravirine formally indicated treatment HIV- infection adult patient prior antiretroviral treatment experience expanding possibility choice therapeutic treatment available management HIV- infection L4562 compound belongs class organic compound known diarylethers organic compound containing dialkyl ether functional group formula ROR-R R aryl group Doravirine indicated combination antiretroviral agent treatment HIV- infection adult patient prior antiretroviral treatment history L12729 also indicated replace current antiretroviral regimen virologically suppressed HIV- RNA le copy per mL stable antiretroviral regimen history treatment failure known substitution associated resistance doravirine L12729
Motolimod,Motolimod Motolimod used trial studying treatment Lymphoma Tongue Cancer Ovarian Cancer Adult Solid Neoplasm Fallopian Tube Cancer among others compound belongs class organic compound known benzazepines organic compound containing benzene ring fused azepine ring unsaturated seven-membered heterocycle one nitrogen atom replacing carbon atom
Dasotraline,Dasotraline Dasotraline serotonin norepinephrine dopamine reuptake inhibitor SNDRI investigation treatment Binge Eating Disorder Adult Attention Hyperactivity Disorder Attention Deficit Hyperactivity Disorder Adult Attention Deficit Hyperactivity Disorder compound belongs class organic compound known tetralins polycyclic aromatic compound containing tetralin moiety consists benzene fused cyclohexane
Cipargamin,Cipargamin Cipargamin used trial studying treatment Malaria Cure Rate Plasmodium Falciparum Malaria compound belongs class organic compound known harmala alkaloid compound structure based harmaline harmine harmalol harman derivative parent parent beta-carbolines consisting pyrimidine fused pyrrole moiety indole form pyrido3 -bindole
Foretinib,Foretinib Foretinib used trial studying treatment Cancer Breast Cancer Carcinoma Renal Cell Recurrent Breast Cancer Neoplasms Head Neck among others Foretinib orally available small molecule compound designed target multiple RTKs implicated development progression spread cancer inhibits activation MET RON ERK AKT decreased proliferation increased apoptosis compound belongs class organic compound known diarylethers organic compound containing dialkyl ether functional group formula ROR-R R aryl group
Eltanolone,Eltanolone Eltanolone investigation clinical trial NCT02603926 Treatment Fragile-X Associated TremorAtaxia Syndrome FXTAS Allopregnanolone compound belongs class organic compound known glucomineralocorticoids progestogins derivative steroid structure based hydroxylated prostane moiety
GI-181771X,GI-181771X Gski181771-X investigation clinical trial NCT00600743 Effect CCK-1R Agonist Food Intake Humans compound belongs class organic compound known benzodiazepine organic compound containing benzene ring fused either isomer diazepineunsaturated seven-member heterocycle two nitrogen atom replacing two carbon atom
Dopexamine,Dopexamine Dopexamine used trial studying diagnostic treatment Free Flap Oral Cancer Hypotension Septic Shock Head Neck Cancer compound belongs class organic compound known catecholamine derivative compound containing -- Aminoethylpyrocatechol -- aminoethylbenzene- -diol derivative thereof formed substitution
9CUAB30,9CUAB30 Cuab30 used trial studying treatment prevention HER2Neu Positive HER2Neu Negative Evidence Disease Estrogen Receptor Negative estrogen receptor positive among others compound belongs class organic compound known tetralins polycyclic aromatic compound containing tetralin moiety consists benzene fused cyclohexane
Benzbromarone,Benzbromarone Benzbromarone used trial studying basic science treatment Heart Failure Hyperuricemia Chronic Kidney Disease Abnormal Renal Function Gout Asymptomatic Hyperuricemia compound belongs class organic compound known aryl-phenylketones aromatic compound containing ketone substituted one aryl group phenyl group
Ifetroban,Ifetroban Ifetroban used trial studying treatment Skin Diseases Autoimmune Diseases Pathologic Processes Scleroderma Limited Scleroderma Diffuse among others compound belongs class organic compound known phenylpropanoic acid compound structure containing benzene ring conjugated propanoic acid
Radotinib,Radotinib Radotinib investigation treatment Leukemia Myelogenous Chronic BCR-ABL Positive compound belongs class organic compound known benzanilides aromatic compound containing anilide group carboxamide group substituted benzene ring general structure RNCOR-R R benzene Radotinib indicated treatment different type cancer notably Philadelphia chromosome-positive Ph chronic myeloid leukemia CML resistance intolerance Bcr-Abl tyrosine-kinase inhibitor patient resistant intolerant imatinib
Idasanutlin,Idasanutlin Idasanutlin used trial studying treatment Neoplasms Non-Hodgkins Lymphoma Leukemia Myeloid Acute Recurrent Plasma Cell Myeloma Neoplasms Leukemia Acute Myeloid Leukemia compound belongs class organic compound known stilbenes organic compound containing -diphenylethylene moiety Stilbenes C6-C2-C6 derived common phenylpropene C6-C3 skeleton building block introduction one hydroxyl group phenyl ring lead stilbenoids
Cantharidin,Cantharidin Cantharidin naturally occurring odorless colorless fatty substance terpenoid class produced oral fluid alimentary canal male blister beetle A32891 A32892 natural purpose male blister beetle secretes present cantharidin female beetle copulatory gift mating Post-copulation female beetle place cantharidin egg protection potential predator Available synthetically since 1950s topical application cantharidin used predominantly treatment cutaneous wart since time A32891 A32892 however marketer cantharidin failed produce sufficient efficacy data resulting FDA revision approval cantharidin A32892 Today topical cantharidin product necessarily demonstrate particular better effectiveness treating topical skin condition like wart commonly available vesicant andor keratolytics although various study also investigated possibility using cantharidin inflammatory model cancer treatment A32892 Regardless onging lack FDA approval likely related certain toxic effect observed following oral ingestion includes ulceration gastrointestinal genitourinary tract along electrolyte renal function disturbance human animal A32891 compound belongs class organic compound known furofurans organic compound containing two furan ring fused Furan five-membered aromatic ring four carbon atom one oxygen atom therapeutic use cantharidin currently primarily indicated active ingredient topical agent treating common wart verruca vulgaris periungual wart plantar wart molluscum contagiosum A32891 A32892 F32 time topical cantharidin application also used number off-label indication like callus removal cutaneous leishmaniasis herpes zoster acquired perforating dermatosis A32892 Furthermore since topical cantharidin application commonly available formulation potent mixture formulation commonly indicated treatment common wart periungual wart molluscum contagiosum potent mixture typically limited use healthcare professional clinical setting treating plantar wart specialized off-label condition A32891 A32892 F32 Moreover also study whether cantharidin could effective used inflammatory model cancer treatment-- either yet formally elucidate result A32892
Eravacycline,Eravacycline Eravacycline known Xerava Tetraphase Pharmaceuticals fully synthetic fluorocycline antibiotic tetracycline class activity clinically significant gram-negative gram-positive aerobic facultative bacteria includes bacteria resistant cephalosporin fluoroquinolones β-lactamβ-lactamase inhibitor multidrug-resistant strain carbapenem-resistant Enterobacteriaceae majority anaerobic pathogen A38683 first approved FDA August L4540 Eravacycline demonstrated superior potency antibiotic currently marketed intraabdominal infection A38727 compound belongs class organic compound known tetracycline polyketides octahydrotetracene -- carboxamide skeleton substituted many hydroxy group Eravacycline tetracycline class antibacterial indicated treatment complicated intra-abdominal infection patient year age older FDA label
Rucaparib,Rucaparib Rucaparib anticancer drug poly ADP-ribose polymerase PARP inhibitor PARP enzyme play essential role DNA repair A18745 Rucaparib proposed work several PARP-dependent PARP-independent mechanism action however cause unique effect synthetic lethality targeting genetically-mutated cancer cell lack DNA repair mechanism rucaparib cause cancer cell death reduces tumour growth A18745 A31354 Rucaparib granted FDA Breakthrough Therapy designation April A18745 accelerated approval December A249240 drug later approved European Commission May L42185 currently used treat recurrent ovarian prostate cancer adult L42155 L42185 compound belongs class organic compound known -phenylindoles indoles substituted -position phenyl group Rucaparib indicated maintenance treatment adult patient recurrent epithelial ovarian fallopian tube primary peritoneal cancer complete partial response platinum-based chemotherapy L42155 accelerated approval FDA rucaparib also indicated treatment adult patient deleterious BRCA mutation germline andor somatic-associated metastatic castration-resistant prostate cancer mCRPC treated androgen receptor-directed therapy taxane-based chemotherapy L42155
Amcipatricin,Amcipatricin Amcipatricin used trial studying treatment Cryptococcosis Aspergillosis Infections Amcipatricin amcipatricin diascorbate SPK- water-soluble partricin derivative patented SPA Societa Prodotti Antibiotici-p developed Aparts Kaken potential treatment systemic fungal infection preclinical model SPK- show vitro inhibitory activity comparable better Amphotericin-B Candida spp Cryptococcus neoformans Aspergillus spp SPK- exhibit dose-dependent efficacy murine pulmonary aspergillosis model SPK- dos higher mgkg body weight exhibit renal toxicity tendency toward better survival prolongation estimated maximum tolerated dos amphotericin-B Fungizone liposomal amphotericin-B
Milataxel,Milataxel Milataxel used trial studying treatment Mesothelioma compound belongs class organic compound known taxanes derivative diterpenoids structure based either taxane skeleton derivative thereof term phytochemistry several derivative taxane skeleton exist -- abeotaxane -cyclotaxane-- -- abeotaxane -seco-taxane -- abeotaxane among others complex skeleton found recently include taxane-derived propellane ring system
Radezolid,Radezolid Radezolid used trial studying treatment Abscess Bacterial Skin Diseases Streptococcal Infections Infectious Skin Diseases Staphylococcal Skin Infections among others compound belongs class organic compound known biphenyls derivative organic compound containing benzene ring linked together C-C bond
Navitoclax,Navitoclax Navitoclax used trial studying treatment basic science Solid Tumors Non-Hodgkins Lymphoma EGFR Activating Mutation Chronic Lymphoid Leukemia Hematological Malignancies among others Navitoclax orally bioavailable small molecule inhibitor Bcl- family protein substance studied treatment lymphoma type cancer block enzyme keep cancer cell dying compound belongs class organic compound known phenylpiperazines compound containing phenylpiperazine skeleton consists piperazine bound phenyl group
Siagoside,Siagoside Siagoside Sygen AGF investigated treatment Parkinson Disease naturally occurring substance nerve cell-’ membrane thought play role cell growth development repair Siagoside completed phase trial parkinson disease PD treatment Sygen appears beneficial patient severe spinal cord injury Treatment result decrease mortality hour induction ischemia gerbil permanent unilateral ligation common carotid artery
Bizelesin,Bizelesin Bizelesin used trial studying treatment Unspecified Adult Solid Tumor Protocol Specific compound belongs class organic compound known pyrroloindoles compound containing pyrroloindole moiety tricyclic heterocycle consists pyrrole ring fused indole Pyrrole -membered ring consisting four carbon atom one nitrogen atom Indole bicyclic compound consisting six-membered benzene ring fused five-membered nitrogen-containing pyrrole ring
Ulodesine,Ulodesine Ulodesine used trial studying treatment Gout Arthritis Hyperuricemia Joint Disease compound belongs class organic compound known pyrrolopyrimidines compound containing pyrrolopyrimidine moiety consists pyrrole ring fused pyrimidine Pyrrole -membered ring consisting four carbon atom one nitrogen atom Pyrimidine -membered ring consisting four carbon atom two nitrogen center-- - ring position
Imrecoxib,Imrecoxib Imrecoxib used trial studying treatment Knee Osteoarthritis compound belongs class organic compound known stilbenes organic compound containing -diphenylethylene moiety Stilbenes C6-C2-C6 derived common phenylpropene C6-C3 skeleton building block introduction one hydroxyl group phenyl ring lead stilbenoids
Netazepide,Netazepide Netazepide used trial studying prevention treatment Dyspepsia Hypergastrinaemia Barretts Esophagus ECL-cell Hyperplasia Rebound Hyperacidity among others compound belongs class organic compound known -benzodiazepines organic compound containing benzene ring fused -azepine
Enbucrilate,Enbucrilate Enbucrilate investigation clinical trial NCT02468206 Secondary Prophylaxis Gastric Variceal Bleed compound belongs class organic compound known cyanoacrylates organonitrogen compound containing acrylic acid ester carry nitrile group general structure ROCOCCCN-R organic group
Diaminopropanol tetraacetic acid,Diaminopropanol tetraacetic acid Diaminohydroxypropanetetraacetic acid investigated treatment Vascular Disease Coronary Disease Myocardial Ischemia Coronary Restenosis Coronary Artery Disease among others compound belongs class organic compound known tetracarboxylic acid derivative carboxylic acid containing exactly four carboxyl group
Betrixaban,Betrixaban Betrixaban non-vitamin-K oral anticoagulant whose action driven competitive reversible inhibition factor Xa A7708 selected among lead compound due low hERG channel affinity sustaining factor Xa inhibition capacity A27286 Betrixaban developed Portola Pharmaceuticals Inc prescribed venous thromboembolism VTE prophylactic adult patient moderate severe restricted motility risk VTE A27285 VTE manifested deep vein thrombosis pulmonary embolism leading cause preventable death hospitalized patient A27287 compound belongs class organic compound known benzanilides aromatic compound containing anilide group carboxamide group substituted benzene ring general structure RNCOR-R R benzene Betrixaban indicated prophylaxis venous thromboembolism VTE condition moderate severe restricted mobility patient qualify risk VTE
Vestronidase alfa,Vestronidase alfa Vestronidase alfa vestronidase alfa-vjbk recombinant human lysosomal beta glucuronidase purified enzyme produced recombinant DNA technology Chinese hamster ovary cell line enzyme homotetramer consisted monomer amino acid hold amino acid sequence human beta-glucuronidase GUS FDA Label Vestronidase alfa enzyme replacement therapy treatment mucopolysaccharidosis type VII MPS VII also known Sly syndrome inherited rare genetic metabolic condition target small subset population MPS VII progressive condition affect tissue organ due lack lysosomal enzyme called beta-glucuronidase leading buildup toxic metabolite disorder initiated skeletal abnormality including short stature along pathological condition including enlarged liver spleen heart valve abnormality narrowed airway lead lung infection trouble breathing Last two condition leading cause fatality patient MPS VII affected individual survive infancy others may live adolescence adulthood patient may experience developmental delay progressive intellectual disability FDA Label clinical trial vestronidase alfa treatment demonstrated improvement stabilization motor symptom increasing patient ability walk longer distance comparison treatment placebo patient also experienced improved pulmonary function Vestronidase alfa FDA-approved November 17th trade name Mepsevii intravenous infusion treatment pediatric adult patient Indicated pediatric adult patient treatment Mucopolysaccharidosis VII MPS VII Sly syndrome
Selurampanel,Selurampanel Selurampanel investigated Adrenocortical Adenoma Sarcoma Endometrial Stromal compound belongs class organic compound known quinazolines compound containing quinazoline moiety made two fused six-member aromatic ring benzene ring pyrimidine ring
AZD-3839,AZD- AZD3839 used trial studying basic science Safety Tolerability Alzheimers Disease Blood Concentration compound belongs class organic compound known phenylpyrimidines polycyclic aromatic compound containing benzene ring linked pyrimidine ring CC CN bond Pyrimidine -membered ring consisting four carbon atom two nitrogen center-- - ring position
Sotrastaurin,Sotrastaurin Sotrastaurin used trial studying basic science treatment Uveal Melanoma Richter Syndrome Prolymphocytic Leukemia Recurrent Mantle Cell Lymphoma Recurrent Small Lymphocytic Lymphoma among others compound belongs class organic compound known n-arylpiperazines organic compound containing piperazine ring nitrogen ring atom carry aryl group
Siponimod,Siponimod Siponimod also known Mayzent Novartis new drug formulated management Multiple Sclerosis MS approved FDA March L5792 Health Canada February L12171 drug considered sphingosine -- phosphate S1P receptor modulator thought play role suppressing central nervous system inflammation associated MS FDA label Multiple Sclerosis MS autoimmune disease central nervous system chronic inflammatory disrupting communication brain part body patient diagnosed illness experience initial disease symptom age often productive year life Symptoms may include limited fatigue gait change bowel bladder dysfunction abnormal muscle twitching vision disturbance depressing mood swing L5801 MS one common cause neurological disability young adult found occur frequently woman men A176474 L5792 compound belongs class organic compound known trifluoromethylbenzenes organofluorine compound contain benzene ring substituted one trifluoromethyl group drug indicated treatment relapsing form multiple sclerosis MS include clinically isolated syndrome relapsing-remitting disease active secondary progressive disease adult FDA label
Velmanase alfa,Velmanase alfa Velmanase alfa recombinant human lysosomal alpha-mannosidase developed enzyme replacement therapy treat alpha-mannosidosis Alpha-mannosidosis rare autosomal recessive lysosomal storage disorder Patients alpha-mannosidosis genetic mutation cause deficiency lysosomal enzyme alpha-mannosidase enzyme responsible breaking complex sugar body resulting accumulation sugar body lead array clinical manifestation leading progressive neuromuscular skeletal deterioration skeletal abnormality motor function impairment intellectual disability respiratory dysfunction A244509 long-term enzyme replacement therapy velmanase alfa intends supplement restore function deficient alpha-mannosidase Velmanase alfa amino acid sequence monomeric protein identical naturally occurring human alpha-mannosidase L39744 granted marketing authorization European Commission March market name Lamzede L39754 first human recombinant form alpha-mannosidase A244509 currently approved United States Canada Velmanase alfa enzyme replacement therapy treatment non-neurological manifestation patient mild moderate alpha-mannosidosis L39744
Ricolinostat,Ricolinostat Ricolinostat investigation treatment Breast Carcinoma Metastatic Breast Cancer compound belongs class organic compound known pyrimidinecarboxylic acid derivative compound containing pyrimidine ring bear carboxylic acid group derivative thereof
Relebactam,Relebactam Relebactam diazabicyclooctane beta-lactamase inhibitor similar structure avibactam A181195 A181207 includes piperidine ring reduces export bacterial cell producing positive charge A181207 currently available combination product includes imipenem cilastatin treat complicated urinary tract infection UTIs pyelonephritis complicated intra-abdominal infection adult label considered last-line treatment option gained FDA approval part combination product RecarbrioⓇ July L7568 compound belongs class organic compound known alpha amino acid amide amide derivative alpha amino acid Relebactam indicated combination imipenem cilastatin treatment complicated urinary tract infection including pyelonephritis complicated intra-abdominal infection caused susceptible organism adult label
Apricoxib,Apricoxib Apricoxib used trial studying treatment prevention Lung Cancer Breast Cancer Pancreatic Cancer Non Small Cell Lung Cancer Metastatic Pancreatic Cancer among others compound belongs class organic compound known diphenylpyrroles aromatic heterocyclic compound structure based pyrrole ring linked exactly two phenyl group
Indirubin,Indirubin Indirubin investigation clinical trial NCT01735864 Dosage Determination Trial Indigo Naturalis Extract Oil Ointment compound belongs class organic compound known indolines compound containing indole moiety consists pyrrolidine ring fused benzene form -dihydroindole
Merestinib,Merestinib Merestinib used trial studying treatment Cancer Solid Tumor Advanced cancer ColoRectal Cancer Metastatic Cancer among others compound belongs class organic compound known aromatic anilides aromatic compound containing anilide group carboxamide group substituted aromatic group general structure RNCOR-R benzene-R aryl group
R-306465,R- R306465 used trial studying treatment Neoplasms compound belongs class organic compound known -naphthalene sulfonic acid derivative organic aromatic compound contain naphthalene moiety carry sulfonic acid group derivative thereof -position Naphthalene bicyclic compound made two fused benzene ring
Cytochlor,Cytochlor Cytochlor used trial studying treatment Head Neck Cancer Brain Central Nervous System Tumors compound belongs class organic compound known pyrimidine -deoxyribonucleosides compound consisting pyrimidine linked ribose lack hydroxyl group position
Silatecan,Silatecan Silatecan used trial studying treatment GBM Tumors Gliosarcoma Solid Malignancies Glioblastoma Multiforme among others compound belongs class organic compound known camptothecins heterocyclic compound comprising planar pentacyclic ring structure includes pyrrolo3 -beta-quinoline moiety ring-B C conjugated pyridone moiety ring one chiral center position within alpha-hydroxy lactone ring configuration E-ring
10-hydroxycamptothecin,-hydroxycamptothecin -hydroxycamptothecin investigation clinical trial NCT00956787 Study AR- DB- Myelodysplastic Syndrome MDS compound belongs class organic compound known camptothecins heterocyclic compound comprising planar pentacyclic ring structure includes pyrrolo3 -beta-quinoline moiety ring-B C conjugated pyridone moiety ring one chiral center position within alpha-hydroxy lactone ring configuration E-ring
Evocalcet,Evocalcet Evocalcet used trial studying treatment Hyperparathyroidism Secondary Hyperparathyroidism compound belongs class organic compound known phenylpyrrolidines polycyclic aromatic compound containing benzene ring linked pyrrolidine ring CC CN bond Pyrrolidine five-membered saturated aliphatic heterocycle one nitrogen atom four carbon atom
Zamicastat,Zamicastat Zamicastat used trial studying treatment Hypertension Chronic Heart Failure compound belongs class organic compound known -benzopyrans organic aromatic compound -benzopyran bicyclic compound made benzene ring fused pyran oxygen atom -position
Sagopilone,Sagopilone Sagopilone used trial studying treatment Melanoma Neoplasms CNS Disease Breast Cancer Breast Neoplasms among others so-called fully synthetic epothilone first compound clinical development combat several form cancer Epothilones -member ring macrolides antimicrotubule activity share similar mechanism action taxanes demonstrated potent antiproliferative activity several different multidrug-resistant paclitaxel-resistant tumor cell line vitro vivo compound belongs class organic compound known macrolides analogue organic compound containing lactone ring least twelve member
Resminostat,Resminostat Resminostat used trial studying treatment Sezary Syndrome Mycosis fungoides Hodgkins Lymphoma Hepatocellular Carcinoma Lymphoma T-Cell Cutaneous among others compound belongs class organic compound known benzenesulfonamides organic compound containing sulfonamide group S-linked benzene ring
